AccX,AccY,AccZ,GyroX,GyroY,GyroZ
285.00,140.00,-4454.00,36.00,-3.00,-40.00
251.00,142.00,-4438.00,36.00,5.00,-30.00
272.00,125.00,-4446.00,40.00,-3.00,-20.00
278.00,171.00,-4474.00,43.00,6.00,-33.00
273.00,160.00,-4440.00,30.00,0.00,-26.00
264.00,156.00,-4449.00,25.00,8.00,-26.00
276.00,134.00,-4437.00,30.00,1.00,-37.00
264.00,141.00,-4457.00,37.00,3.00,-21.00
265.00,141.00,-4435.00,39.00,12.00,-23.00
247.00,145.00,-4444.00,32.00,11.00,-32.00
242.00,149.00,-4458.00,39.00,-1.00,-26.00
257.00,139.00,-4445.00,40.00,9.00,-24.00
269.00,150.00,-4432.00,38.00,8.00,-32.00
248.00,156.00,-4441.00,34.00,5.00,-25.00
233.00,153.00,-4456.00,32.00,0.00,-10.00
253.00,132.00,-4427.00,41.00,10.00,-12.00
236.00,146.00,-4442.00,36.00,11.00,-42.00
226.00,160.00,-4480.00,43.00,3.00,-22.00
263.00,137.00,-4461.00,42.00,2.00,-25.00
242.00,148.00,-4431.00,30.00,18.00,-31.00
271.00,140.00,-4445.00,40.00,9.00,-22.00
239.00,136.00,-4438.00,37.00,11.00,-18.00
258.00,147.00,-4415.00,39.00,3.00,-32.00
281.00,127.00,-4418.00,34.00,2.00,-33.00
258.00,138.00,-4451.00,35.00,14.00,-16.00
258.00,155.00,-4423.00,38.00,8.00,-16.00
277.00,151.00,-4460.00,35.00,7.00,-32.00
257.00,162.00,-4493.00,45.00,14.00,-30.00
228.00,137.00,-4453.00,45.00,2.00,-31.00
284.00,137.00,-4445.00,28.00,-2.00,-22.00
251.00,153.00,-4425.00,46.00,10.00,-33.00
243.00,153.00,-4430.00,27.00,4.00,-36.00
239.00,149.00,-4470.00,32.00,8.00,-39.00
248.00,138.00,-4414.00,43.00,5.00,-24.00
260.00,134.00,-4450.00,39.00,-1.00,-35.00
255.00,144.00,-4435.00,35.00,14.00,-34.00
281.00,153.00,-4444.00,31.00,8.00,-26.00
252.00,140.00,-4445.00,33.00,13.00,-41.00
246.00,143.00,-4433.00,46.00,3.00,-32.00
273.00,162.00,-4477.00,40.00,11.00,-30.00
261.00,122.00,-4459.00,38.00,6.00,-40.00
265.00,113.00,-4440.00,36.00,12.00,-31.00
259.00,129.00,-4418.00,28.00,8.00,-38.00
281.00,144.00,-4454.00,46.00,5.00,-24.00
265.00,128.00,-4445.00,41.00,14.00,-30.00
257.00,147.00,-4423.00,39.00,14.00,-27.00
250.00,160.00,-4475.00,42.00,10.00,-25.00
236.00,169.00,-4421.00,39.00,19.00,-30.00
255.00,162.00,-4436.00,36.00,18.00,-41.00
296.00,137.00,-4433.00,39.00,-1.00,-34.00
257.00,156.00,-4419.00,36.00,-10.00,-33.00
267.00,126.00,-4407.00,31.00,11.00,-29.00
269.00,143.00,-4435.00,29.00,8.00,-34.00
231.00,146.00,-4428.00,46.00,7.00,-27.00
264.00,126.00,-4436.00,34.00,1.00,-38.00
263.00,164.00,-4436.00,39.00,-3.00,-31.00
257.00,158.00,-4429.00,20.00,11.00,-25.00
259.00,153.00,-4444.00,43.00,4.00,-19.00
257.00,146.00,-4406.00,38.00,-3.00,-21.00
239.00,122.00,-4480.00,42.00,8.00,-28.00
263.00,135.00,-4423.00,29.00,1.00,-27.00
251.00,175.00,-4432.00,30.00,1.00,-28.00
256.00,153.00,-4423.00,28.00,5.00,-30.00
248.00,159.00,-4489.00,31.00,1.00,-31.00
263.00,173.00,-4438.00,47.00,5.00,-32.00
244.00,147.00,-4442.00,34.00,2.00,-23.00
228.00,141.00,-4446.00,53.00,0.00,-21.00
263.00,133.00,-4440.00,54.00,10.00,-33.00
274.00,129.00,-4453.00,34.00,-1.00,-34.00
229.00,145.00,-4449.00,36.00,7.00,-41.00
272.00,143.00,-4437.00,42.00,10.00,-25.00
249.00,153.00,-4434.00,38.00,6.00,-29.00
252.00,157.00,-4417.00,42.00,7.00,-29.00
247.00,156.00,-4449.00,29.00,8.00,-23.00
255.00,151.00,-4426.00,40.00,6.00,-16.00
259.00,163.00,-4456.00,30.00,9.00,-23.00
268.00,151.00,-4434.00,33.00,0.00,-25.00
266.00,144.00,-4420.00,38.00,1.00,-20.00
256.00,153.00,-4417.00,36.00,0.00,-39.00
300.00,151.00,-4421.00,32.00,12.00,-38.00
260.00,154.00,-4429.00,35.00,5.00,-32.00
256.00,152.00,-4452.00,41.00,5.00,-46.00
260.00,151.00,-4458.00,46.00,10.00,-32.00
248.00,147.00,-4440.00,31.00,10.00,-38.00
261.00,159.00,-4456.00,38.00,8.00,-31.00
269.00,142.00,-4439.00,32.00,7.00,-32.00
280.00,136.00,-4423.00,54.00,4.00,-26.00
252.00,136.00,-4432.00,40.00,12.00,-37.00
272.00,167.00,-4443.00,36.00,-4.00,-42.00
272.00,159.00,-4426.00,27.00,6.00,-24.00
266.00,154.00,-4431.00,50.00,13.00,-28.00
254.00,151.00,-4440.00,36.00,1.00,-42.00
249.00,155.00,-4432.00,42.00,5.00,-30.00
245.00,150.00,-4444.00,44.00,1.00,-26.00
262.00,151.00,-4444.00,35.00,-4.00,-35.00
256.00,141.00,-4449.00,29.00,1.00,-23.00
262.00,149.00,-4438.00,39.00,11.00,-17.00
281.00,163.00,-4462.00,44.00,7.00,-22.00
249.00,164.00,-4420.00,36.00,5.00,-29.00
229.00,160.00,-4456.00,32.00,17.00,-32.00
241.00,124.00,-4422.00,32.00,0.00,-21.00
242.00,156.00,-4434.00,35.00,1.00,-19.00
274.00,141.00,-4459.00,35.00,-2.00,-35.00
240.00,144.00,-4420.00,42.00,-1.00,-25.00
264.00,134.00,-4445.00,38.00,12.00,-32.00
269.00,121.00,-4447.00,44.00,-3.00,-33.00
243.00,140.00,-4447.00,35.00,6.00,-22.00
255.00,158.00,-4480.00,34.00,18.00,-22.00
267.00,159.00,-4442.00,32.00,7.00,-29.00
270.00,152.00,-4423.00,31.00,9.00,-21.00
250.00,166.00,-4438.00,31.00,2.00,-35.00
266.00,133.00,-4465.00,42.00,-2.00,-29.00
249.00,142.00,-4416.00,48.00,2.00,-34.00
252.00,153.00,-4444.00,33.00,4.00,-32.00
258.00,143.00,-4444.00,42.00,0.00,-29.00
256.00,138.00,-4409.00,26.00,11.00,-25.00
239.00,138.00,-4424.00,47.00,7.00,-38.00
237.00,143.00,-4467.00,38.00,12.00,-33.00
254.00,138.00,-4435.00,31.00,-6.00,-31.00
268.00,144.00,-4459.00,43.00,9.00,-42.00
270.00,154.00,-4427.00,38.00,8.00,-34.00
248.00,137.00,-4448.00,30.00,16.00,-36.00
279.00,142.00,-4444.00,32.00,16.00,-34.00
272.00,144.00,-4390.00,43.00,4.00,-21.00
268.00,153.00,-4444.00,40.00,13.00,-32.00
234.00,142.00,-4458.00,39.00,8.00,-30.00
262.00,150.00,-4429.00,29.00,1.00,-19.00
267.00,138.00,-4445.00,44.00,5.00,-28.00
263.00,126.00,-4463.00,29.00,2.00,-22.00
260.00,151.00,-4449.00,35.00,-2.00,-38.00
268.00,173.00,-4442.00,31.00,9.00,-43.00
250.00,143.00,-4412.00,41.00,8.00,-29.00
246.00,148.00,-4446.00,38.00,11.00,-32.00
250.00,158.00,-4420.00,41.00,-2.00,-30.00
244.00,152.00,-4416.00,39.00,-1.00,-23.00
261.00,142.00,-4447.00,41.00,16.00,-36.00
262.00,142.00,-4440.00,28.00,-8.00,-28.00
245.00,164.00,-4476.00,38.00,9.00,-26.00
243.00,157.00,-4420.00,29.00,3.00,-26.00
281.00,137.00,-4452.00,35.00,6.00,-31.00
269.00,138.00,-4462.00,48.00,2.00,-24.00
274.00,155.00,-4425.00,29.00,8.00,-30.00
273.00,122.00,-4435.00,34.00,9.00,-35.00
271.00,116.00,-4440.00,36.00,2.00,-31.00
235.00,151.00,-4432.00,32.00,0.00,-39.00
271.00,136.00,-4458.00,41.00,0.00,-31.00
234.00,138.00,-4434.00,25.00,-4.00,-27.00
230.00,132.00,-4449.00,44.00,7.00,-29.00
271.00,122.00,-4421.00,38.00,9.00,-30.00
261.00,140.00,-4476.00,30.00,4.00,-29.00
290.00,160.00,-4434.00,47.00,0.00,-29.00
268.00,158.00,-4427.00,37.00,4.00,-33.00
272.00,155.00,-4438.00,29.00,9.00,-29.00
269.00,146.00,-4463.00,54.00,14.00,-35.00
260.00,131.00,-4410.00,42.00,7.00,-33.00
268.00,156.00,-4461.00,39.00,9.00,-21.00
276.00,144.00,-4437.00,45.00,11.00,-30.00
250.00,148.00,-4455.00,40.00,12.00,-37.00
269.00,150.00,-4419.00,38.00,5.00,-22.00
263.00,150.00,-4443.00,40.00,9.00,-25.00
259.00,139.00,-4384.00,30.00,12.00,-22.00
273.00,146.00,-4432.00,28.00,3.00,-35.00
276.00,131.00,-4410.00,44.00,10.00,-27.00
250.00,168.00,-4421.00,46.00,12.00,-18.00
275.00,153.00,-4437.00,27.00,4.00,-26.00
265.00,145.00,-4433.00,39.00,12.00,-30.00
254.00,136.00,-4444.00,39.00,0.00,-30.00
246.00,129.00,-4390.00,32.00,0.00,-34.00
279.00,144.00,-4469.00,30.00,19.00,-27.00
285.00,153.00,-4460.00,29.00,-1.00,-22.00
284.00,137.00,-4465.00,34.00,1.00,-36.00
272.00,163.00,-4448.00,47.00,13.00,-21.00
258.00,149.00,-4458.00,35.00,9.00,-33.00
243.00,137.00,-4468.00,40.00,2.00,-22.00
246.00,142.00,-4462.00,36.00,5.00,-36.00
242.00,125.00,-4472.00,35.00,3.00,-26.00
257.00,156.00,-4443.00,25.00,6.00,-34.00
240.00,149.00,-4439.00,31.00,13.00,-33.00
263.00,138.00,-4420.00,40.00,4.00,-32.00
269.00,168.00,-4449.00,36.00,8.00,-38.00
269.00,126.00,-4474.00,47.00,12.00,-29.00
255.00,134.00,-4445.00,37.00,11.00,-34.00
250.00,146.00,-4460.00,48.00,10.00,-37.00
260.00,178.00,-4438.00,43.00,-1.00,-35.00
257.00,148.00,-4417.00,31.00,2.00,-38.00
273.00,125.00,-4436.00,44.00,-2.00,-32.00
259.00,148.00,-4449.00,44.00,3.00,-40.00
275.00,143.00,-4475.00,29.00,7.00,-34.00
262.00,130.00,-4427.00,40.00,8.00,-27.00
261.00,111.00,-4439.00,45.00,7.00,-30.00
270.00,135.00,-4454.00,27.00,17.00,-21.00
236.00,138.00,-4452.00,41.00,7.00,-24.00
251.00,150.00,-4454.00,39.00,2.00,-30.00
275.00,142.00,-4426.00,37.00,7.00,-36.00
225.00,141.00,-4459.00,44.00,4.00,-31.00
263.00,146.00,-4416.00,39.00,-3.00,-36.00
270.00,136.00,-4430.00,41.00,11.00,-33.00
271.00,135.00,-4436.00,44.00,1.00,-20.00
263.00,173.00,-4432.00,32.00,-6.00,-30.00
258.00,170.00,-4448.00,52.00,-2.00,-28.00
251.00,144.00,-4439.00,36.00,4.00,-29.00
264.00,163.00,-4414.00,32.00,-6.00,-26.00
259.00,159.00,-4465.00,39.00,10.00,-25.00
284.00,149.00,-4429.00,30.00,8.00,-35.00
273.00,166.00,-4456.00,34.00,-1.00,-33.00
278.00,142.00,-4467.00,33.00,3.00,-27.00
246.00,135.00,-4404.00,33.00,2.00,-31.00
251.00,149.00,-4467.00,30.00,9.00,-28.00
256.00,132.00,-4406.00,33.00,1.00,-40.00
264.00,164.00,-4450.00,45.00,1.00,-34.00
262.00,155.00,-4448.00,40.00,9.00,-35.00
260.00,117.00,-4417.00,47.00,3.00,-29.00
272.00,145.00,-4417.00,45.00,3.00,-30.00
270.00,173.00,-4473.00,38.00,-9.00,-29.00
259.00,141.00,-4454.00,44.00,14.00,-34.00
270.00,168.00,-4471.00,45.00,2.00,-33.00
255.00,134.00,-4427.00,41.00,9.00,-34.00
250.00,146.00,-4420.00,37.00,5.00,-27.00
267.00,148.00,-4408.00,33.00,11.00,-24.00
272.00,152.00,-4460.00,36.00,7.00,-33.00
253.00,173.00,-4421.00,40.00,8.00,-32.00
264.00,143.00,-4452.00,38.00,9.00,-29.00
257.00,148.00,-4460.00,34.00,7.00,-29.00
261.00,147.00,-4442.00,47.00,8.00,-35.00
259.00,152.00,-4451.00,39.00,8.00,-42.00
245.00,165.00,-4434.00,40.00,5.00,-28.00
290.00,147.00,-4458.00,32.00,0.00,-40.00
276.00,147.00,-4445.00,38.00,0.00,-20.00
266.00,139.00,-4409.00,41.00,-1.00,-15.00
280.00,154.00,-4406.00,39.00,-6.00,-25.00
264.00,140.00,-4470.00,50.00,3.00,-20.00
250.00,123.00,-4438.00,40.00,10.00,-29.00
257.00,136.00,-4473.00,24.00,14.00,-34.00
258.00,171.00,-4458.00,37.00,1.00,-27.00
248.00,146.00,-4437.00,40.00,6.00,-21.00
257.00,131.00,-4450.00,33.00,-1.00,-33.00
284.00,132.00,-4408.00,39.00,-1.00,-27.00
267.00,148.00,-4423.00,40.00,1.00,-22.00
268.00,154.00,-4436.00,46.00,5.00,-36.00
241.00,149.00,-4429.00,46.00,6.00,-32.00
256.00,151.00,-4428.00,33.00,5.00,-28.00
255.00,166.00,-4422.00,32.00,3.00,-34.00
251.00,143.00,-4450.00,37.00,8.00,-25.00
254.00,147.00,-4427.00,34.00,2.00,-24.00
262.00,158.00,-4467.00,29.00,7.00,-32.00
262.00,149.00,-4421.00,44.00,7.00,-25.00
245.00,147.00,-4484.00,33.00,2.00,-27.00
266.00,138.00,-4460.00,53.00,6.00,-23.00
268.00,135.00,-4433.00,47.00,3.00,-31.00
263.00,128.00,-4413.00,31.00,9.00,-36.00
241.00,151.00,-4469.00,37.00,2.00,-31.00
257.00,147.00,-4426.00,45.00,4.00,-34.00
264.00,129.00,-4460.00,24.00,4.00,-27.00
242.00,153.00,-4440.00,47.00,7.00,-25.00
248.00,150.00,-4436.00,34.00,10.00,-34.00
249.00,144.00,-4464.00,43.00,6.00,-28.00
232.00,137.00,-4447.00,41.00,21.00,-26.00
268.00,139.00,-4455.00,25.00,1.00,-25.00
257.00,138.00,-4435.00,40.00,9.00,-36.00
292.00,142.00,-4436.00,43.00,-4.00,-23.00
284.00,150.00,-4466.00,53.00,9.00,-36.00
262.00,162.00,-4445.00,36.00,1.00,-24.00
259.00,130.00,-4413.00,31.00,-2.00,-31.00
252.00,146.00,-4430.00,37.00,3.00,-13.00
264.00,162.00,-4398.00,21.00,7.00,-23.00
266.00,131.00,-4472.00,36.00,3.00,-25.00
253.00,141.00,-4433.00,35.00,6.00,-32.00
262.00,156.00,-4432.00,44.00,1.00,-40.00
252.00,142.00,-4438.00,36.00,3.00,-29.00
260.00,138.00,-4440.00,27.00,12.00,-14.00
264.00,136.00,-4453.00,27.00,-3.00,-28.00
265.00,143.00,-4416.00,35.00,-1.00,-35.00
247.00,159.00,-4447.00,41.00,6.00,-40.00
264.00,140.00,-4425.00,39.00,13.00,-42.00
247.00,136.00,-4454.00,37.00,1.00,-23.00
284.00,148.00,-4431.00,51.00,9.00,-41.00
289.00,171.00,-4443.00,47.00,4.00,-29.00
233.00,142.00,-4484.00,42.00,4.00,-32.00
256.00,119.00,-4434.00,41.00,6.00,-37.00
258.00,133.00,-4452.00,34.00,9.00,-32.00
250.00,153.00,-4432.00,43.00,0.00,-27.00
275.00,144.00,-4422.00,46.00,3.00,-31.00
279.00,147.00,-4423.00,53.00,-4.00,-35.00
275.00,156.00,-4451.00,28.00,14.00,-25.00
277.00,143.00,-4460.00,34.00,4.00,-25.00
242.00,139.00,-4418.00,38.00,15.00,-31.00
244.00,171.00,-4406.00,35.00,0.00,-29.00
265.00,148.00,-4460.00,46.00,7.00,-22.00
262.00,139.00,-4443.00,40.00,2.00,-38.00
271.00,157.00,-4458.00,33.00,-2.00,-21.00
269.00,136.00,-4458.00,30.00,12.00,-32.00
280.00,142.00,-4446.00,34.00,1.00,-16.00
282.00,137.00,-4477.00,25.00,3.00,-35.00
260.00,155.00,-4478.00,41.00,0.00,-34.00
281.00,154.00,-4467.00,44.00,3.00,-27.00
245.00,157.00,-4449.00,35.00,-3.00,-29.00
258.00,143.00,-4464.00,44.00,9.00,-16.00
250.00,120.00,-4461.00,33.00,11.00,-22.00
279.00,158.00,-4436.00,49.00,1.00,-25.00
273.00,138.00,-4443.00,33.00,12.00,-26.00
292.00,156.00,-4424.00,31.00,11.00,-27.00
268.00,131.00,-4452.00,39.00,16.00,-28.00
248.00,138.00,-4475.00,42.00,4.00,-30.00
229.00,136.00,-4453.00,27.00,7.00,-35.00
277.00,133.00,-4430.00,36.00,5.00,-29.00
286.00,139.00,-4470.00,35.00,-7.00,-30.00
277.00,152.00,-4443.00,39.00,8.00,-22.00
274.00,145.00,-4459.00,51.00,6.00,-31.00
242.00,137.00,-4419.00,36.00,-5.00,-31.00
272.00,132.00,-4441.00,44.00,-5.00,-24.00
265.00,139.00,-4442.00,32.00,11.00,-26.00
272.00,134.00,-4467.00,38.00,-2.00,-18.00
277.00,158.00,-4438.00,33.00,-2.00,-25.00
269.00,153.00,-4457.00,33.00,6.00,-27.00
235.00,153.00,-4437.00,33.00,11.00,-25.00
265.00,157.00,-4450.00,41.00,13.00,-18.00
275.00,154.00,-4380.00,44.00,8.00,-36.00
274.00,181.00,-4436.00,39.00,2.00,-32.00
271.00,146.00,-4441.00,51.00,4.00,-25.00
243.00,150.00,-4484.00,34.00,9.00,-28.00
279.00,153.00,-4414.00,46.00,1.00,-37.00
235.00,134.00,-4470.00,42.00,6.00,-24.00
268.00,150.00,-4442.00,32.00,1.00,-25.00
252.00,142.00,-4411.00,37.00,10.00,-24.00
265.00,150.00,-4436.00,34.00,5.00,-27.00
255.00,146.00,-4438.00,40.00,8.00,-26.00
241.00,132.00,-4453.00,33.00,-4.00,-38.00
266.00,145.00,-4447.00,32.00,9.00,-28.00
254.00,136.00,-4410.00,37.00,6.00,-38.00
280.00,153.00,-4448.00,44.00,5.00,-26.00
246.00,137.00,-4430.00,37.00,9.00,-21.00
259.00,142.00,-4431.00,31.00,3.00,-25.00
257.00,144.00,-4453.00,36.00,4.00,-32.00
262.00,145.00,-4442.00,30.00,13.00,-21.00
235.00,156.00,-4471.00,31.00,2.00,-19.00
266.00,163.00,-4438.00,34.00,4.00,-44.00
