AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-3558.00,-7.00,-2107.00,29.00,-463.00,176.00
-3514.00,54.00,-2107.00,3.00,-457.00,222.00
-3468.00,-7.00,-2088.00,-309.00,-354.00,215.00
-3416.00,-131.00,-2071.00,-97.00,-314.00,220.00
-3463.00,-128.00,-2045.00,22.00,-353.00,104.00
-3483.00,-166.00,-2061.00,-119.00,-438.00,-105.00
-3541.00,-130.00,-2135.00,-21.00,-413.00,-366.00
-3565.00,36.00,-2164.00,260.00,-351.00,-462.00
-3522.00,178.00,-2172.00,49.00,-211.00,-382.00
-3507.00,159.00,-2137.00,-34.00,-116.00,-174.00
-3522.00,106.00,-2089.00,-93.00,13.00,-42.00
-3544.00,39.00,-2074.00,-112.00,98.00,29.00
-3603.00,5.00,-2058.00,-80.00,97.00,7.00
-3619.00,-42.00,-2087.00,-128.00,76.00,-57.00
-3595.00,-6.00,-2175.00,164.00,110.00,-65.00
-3611.00,97.00,-2245.00,212.00,286.00,-53.00
-3587.00,98.00,-2304.00,130.00,523.00,6.00
-3570.00,104.00,-2329.00,224.00,747.00,109.00
-3565.00,88.00,-2367.00,323.00,1053.00,222.00
-3576.00,126.00,-2310.00,493.00,1369.00,318.00
